year,city,Unnamed: 0,env_attention,total_water,avg_u10,avg_v10,tobeijing,totianjin,toshijiazhuang,totangshan,toqinhuangdao,tohandan,toxingtai,tobaoding,tozhangjiakou,tochengde,tocangzhou,tolangfang,tohengshui,煤炭占能源消费总量的比重 (%),石油占能源消费总量的比重 (%),天然气占能源消费总量的比重 (%),一次电力及其他能源占能源总量的比重 (%),pm25,第二产业占比,供气总量
2010,廊坊,,0.8370221874770339,,-0.21844893446410774,0.3352012112280885,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,1.3225837135512795,1.0207763610015772,-0.3871921031558281
2011,廊坊,,0.8370221874770339,,-0.21844893446410774,0.3352012112280885,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,1.3225837135512795,1.0207763610015772,-0.3871921031558281
2012,廊坊,,0.8370221874770339,,-0.21844893446410774,0.3352012112280885,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,1.3225837135512795,1.0207763610015772,-0.3871921031558281
2013,廊坊,,0.8370221874770339,,-0.21844893446410774,0.3352012112280885,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,1.3225837135512795,1.0207763610015772,-0.3871921031558281
2014,廊坊,44.0,0.8370221874770339,13.780797,-0.21844893446410774,0.3352012112280885,49.43633418401093,61.872698596859536,249.8292211461068,129.14112021565015,252.157859216603,376.46506812903567,334.2645592599899,128.29126868452013,211.67332961784228,192.0735274686731,136.1232863090045,0.0,217.8668645553197,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,1.3225837135512795,1.0207763610015772,-0.3871921031558281
2015,廊坊,45.0,-0.7728618413128238,15.618229,0.06547426529459875,-0.13055816414915886,49.43633418401093,61.872698596859536,249.8292211461068,129.14112021565015,252.157859216603,376.46506812903567,334.2645592599899,128.29126868452013,211.67332961784228,192.0735274686731,136.1232863090045,0.0,217.8668645553197,0.7121276528720103,0.2400561549601992,-0.923141948096122,-0.7879971974016767,1.3007740748573153,0.5837809924059518,-0.36841719370065135
2016,廊坊,46.0,1.541904839310308,18.476316,-0.5183037584975603,-0.24814602157780602,49.43633418401093,61.872698596859536,249.8292211461068,129.14112021565015,252.157859216603,376.46506812903567,334.2645592599899,128.29126868452013,211.67332961784228,192.0735274686731,136.1232863090045,0.0,217.8668645553197,0.36261714839495107,0.6721572338885741,-0.6961398297118305,-0.42981665312818723,0.3910698120001995,0.246890289744126,-0.3634563952164142
2017,廊坊,47.0,0.2797807299844687,15.19321,0.009038195921000728,-0.06375596504322555,49.43633418401093,61.872698596859536,249.8292211461068,129.14112021565015,252.157859216603,376.46506812903567,334.2645592599899,128.29126868452013,211.67332961784228,192.0735274686731,136.1232863090045,0.0,217.8668645553197,0.013106643917890265,0.9602246198408223,-0.09080084735371635,-0.21490832656409362,0.1123910953551054,0.1997255913714702,-0.3569553385838743
2018,廊坊,48.0,0.6252831324971694,14.772012,-0.6846099477936272,-0.14409903937896085,49.43633418401093,61.872698596859536,249.8292211461068,129.14112021565015,252.157859216603,376.46506812903567,334.2645592599899,128.29126868452013,211.67332961784228,192.0735274686731,136.1232863090045,0.0,217.8668645553197,-0.33640386055917054,0.9602246198408223,0.43887076220963195,0.10745416328204711,-0.2981147707290593,-0.3238988150514817,-0.34446326137778766
2019,廊坊,49.0,-0.12300579822348055,11.1221485,0.30814834798541335,0.10618504173853988,49.43633418401093,61.872698596859536,249.8292211461068,129.14112021565015,252.157859216603,376.46506812903567,334.2645592599899,128.29126868452013,211.67332961784228,192.0735274686731,136.1232863090045,0.0,217.8668645553197,-0.6640699585064147,1.104258312816949,0.7415402533886887,0.42981665312818784,-0.5103952540169743,-0.5183328777305929,-0.33419402789149216
